Shape,b_1(mm),d_1(mm),d_avg(mm),rho_avg(%),$b^* [mm]$,$b^*/d_{avg}$,f_c(MPa),f_y(MPa),V_u(kN),b_o (mm),$f_y * rho_{avg} [MPa]$,lamda,lamdas,beta,$ACI_a [psi]$,$ACI_b [psi]$,$ACI_c [psi]$,$ACI_{min} [psi]$,$ACI_{min} [MPa]$,ACI_$V_c [kN]$
C,51,51,38.1,0.020138414,39.8982267,1.047197551,13.14588843,550,24,220.0685654,11.0761277,0.75,1,1,130.9957262,196.4935894,292.287962,130.9957262,0.903184093,7.572842774
S,76,76,29.972,0.0177,76.2,2.542372881,26.332005,396,31,423.888,7.0092,0.85,1,1,210.1172861,315.1759291,253.6270219,210.1172861,1.448708259,18.40549297
C,102,102,38.1,0.020138414,79.7964534,2.094395102,13.14588843,550,33,380.2897907,11.0761277,0.75,1,1,130.9957262,196.4935894,196.7382301,130.9957262,0.903184093,13.0862615
S,76,76,31.75,0.0098,76.2,2.4,28.008869,332,34,431,3.2536,0.85,1,1,216.7043376,325.0565065,267.9893549,216.7043376,1.494124399,20.44595636
C,102,102,38.1,0.020138414,79.7964534,2.094395102,13.14588843,550,34,380.2897907,11.0761277,0.75,1,1,130.9957262,196.4935894,196.7382301,130.9957262,0.903184093,13.0862615
C,51,51,38.1,0.020138414,39.8982267,1.047197551,13.14588843,550,35,220.0685654,11.0761277,0.75,1,1,130.9957262,196.4935894,292.287962,130.9957262,0.903184093,7.572842774
C,102,102,38.1,0.020138414,79.7964534,2.094395102,13.14588843,550,36,380.2897907,11.0761277,0.75,1,1,130.9957262,196.4935894,196.7382301,130.9957262,0.903184093,13.0862615
S,100,100,35,0.006904599,100,2.857142857,35.325,530,38,540,3.65943747,1,1,1,286.3136001,429.4704001,328.7304297,286.3136001,1.974063557,37.30977304
C,76,76,38.1,0.013089969,59.84734005,1.570796327,18.9302225,386,39,298.6083817,5.052728034,0.75,1,1,157.1954659,235.7931988,279.1663579,157.1954659,1.08382501,12.33064544
S,76,76,38.1,0.013089969,76.2,2,26.201,303,43,456.4,3.966260607,0.85,1,1,209.5939545,314.3909318,279.7647614,209.5939545,1.445100014,25.12859394
S,100,100,40.5,0.005171346,100,2.469135802,28.05,530,44,562,2.74081338,0.85,1,1,216.8633943,325.2950915,264.7122571,216.8633943,1.495221057,34.03270075
S,114,114,38.1,0.013089969,114.3,3,21.8123325,303,47,608.4,3.966260607,0.75,1,1,168.7381217,253.1071826,190.0383975,168.7381217,1.163408852,26.96784335
S,100,100,40.5,0.005585054,100,2.469135802,28.8,530,49,562,2.96007862,0.85,1,1,219.7435125,329.6152687,268.2278462,219.7435125,1.51507878,34.48468205
S,100,100,40.5,0.006018377,100,2.469135802,31.875,530,49,562,3.18973981,0.85,1,1,231.1771551,346.7657327,282.1842143,231.1771551,1.593911002,36.2789809
C,152,152,38.1,0.020138414,119.6946801,3.141592654,13.14588843,550,49,537.3694234,11.0761277,0.75,1,1,130.9957262,196.4935894,158.3750711,130.9957262,0.903184093,18.49157397
S,76,76,38.1,0.026179939,76.2,2,22.0743425,318,50,456.4,8.325220602,0.75,1,1,169.7485387,254.622808,226.5793378,169.7485387,1.170375435,20.35145579
S,152,152,38.1,0.013089969,152.4,4,19.7162525,296,51,760.4,3.874630824,0.75,1,1,160.4258473,240.6387709,160.5946277,160.4258473,1.106097715,32.04499814
S,100,100,40.5,0.006912195,100,2.469135802,31.875,530,52,562,3.66346335,0.85,1,1,231.1771551,346.7657327,282.1842143,231.1771551,1.593911002,36.2789809
S,100,100,40.5,0.008024502,100,2.469135802,28.05,530,55,562,4.25298606,0.85,1,1,216.8633943,325.2950915,264.7122571,216.8633943,1.495221057,34.03270075
