Complexity,Loss,Equation
1,143846.86,"353.48056"
3,48450.09,"x5 * 3.7966876"
5,33328.125,"(x5 * 5.62363) + -257.18106"
6,29415.367,"(x6 * square(x5)) + x4"
7,18547.164,"((x5 * x6) + 1.9705989) * x5"
8,15165.876,"((x3 * 0.0002941051) * square(x5)) + x4"
10,14648.051,"((-5.8847065 - x3) * (square(x5) * -0.00026269967)) + x4"
11,13907.153,"((x5 * x6) + 2.634644) * (x5 - (642.425 / x3))"
12,10532.238,"x4 + ((square(x5) * ((x3 * -0.00040535303) - x6)) * -0.48678687)"
14,9411.108,"((square(x5) * ((x3 * 0.00023864277) - (x6 * -0.7479792))) + x4) * 0.8030486"
