Complexity,Loss,Equation
1,196960.78,"x2"
3,61335.773,"x1 * 4.1098537"
4,52349.523,"square(x2) * 0.0114858"
5,35935.9,"(x1 - 49.449154) * 6.1954355"
6,24692.486,"square((x7 + x2) * 0.098191336)"
7,20694.6,"x1 * ((x9 * x1) + 2.0962331)"
8,15131.551,"square((x7 + x2) * (x9 - -0.08886752))"
10,13225.757,"square(((x9 - -0.08524639) * (x7 + x2)) + x12)"
11,12481.922,"((x8 * 0.005300276) + (x9 * x1)) * (x1 - x11)"
12,12120.615,"square(((x2 + (x4 * 0.12834908)) + x7) * (x9 - -0.07901411))"
13,10746.839,"((0.0020489183 * (x1 * (x9 * x8))) + 2.8722267) * (x1 - 26.104053)"
15,8982.963,"(((x1 * x9) + (x8 * 0.0042239963)) * ((x7 + x1) - 99.599655)) + x4"
