Complexity,Loss,Equation
1,191850.66,"x3"
3,61335.773,"x0 * 4.1098537"
4,52349.516,"square(x1 * -0.107173726)"
5,35935.902,"(x0 * 6.195224) + -306.34122"
6,24692.486,"square((x6 + x1) * 0.098191336)"
7,20694.6,"x0 * ((x0 * x8) + 2.0962102)"
8,15131.553,"square((x8 + 0.08886658) * (x1 + x6))"
10,13225.757,"square(((x8 - -0.085246414) * (x1 + x6)) + x11)"
11,12929.586,"((x7 * 0.006003322) + (x0 * x8)) * (x0 - 27.133444)"
12,11701.967,"(x4 * 0.0009968453) + square((x1 + x6) * (-0.08462606 - x8))"
13,11099.032,"(((x7 * 0.005942091) + (x8 * x1)) * (x0 - 62.23358)) + 129.79623"
14,10780.745,"square((x1 + (x6 * 1.2866038)) * (-0.08087936 - x8)) + (x4 * 0.0010689625)"
15,10726.123,"square(x3 * 0.029865686) + square((x8 - -0.08096829) * ((x6 * 1.303614) + x1))"
