Complexity,Loss,Equation
1,191850.66,"x3"
3,61335.773,"x0 * 4.1098537"
4,52349.516,"square(x1 * -0.107173726)"
5,35935.9,"(x0 * 6.1952915) + -306.34708"
6,24692.486,"square((x6 + x1) * 0.098191336)"
7,20694.6,"x0 * ((x0 * x8) + 2.0962102)"
8,15131.552,"square((x6 + x1) * (x8 + 0.0888656))"
9,15005.136,"x3 + ((x0 * 0.00029985065) * (x6 * x0))"
10,13225.757,"square(((x8 - -0.085246414) * (x1 + x6)) + x11)"
11,12481.923,"((x0 * x8) + (x7 * 0.005300343)) * (x0 - x10)"
12,11700.418,"(x4 * 0.0010011537) + square((x6 + x1) * (x8 - -0.0847188))"
13,9708.706,"(x3 + (((x8 + (x6 * 0.00024757723)) * x0) * x0)) / 1.3910532"
15,9129.844,"((x0 * (((x8 + (x6 * 0.00030549863)) * x0) - -0.90551406)) + x3) / 1.7080495"
