Complexity,Loss,Equation
1,191850.66,"x4"
3,61335.773,"x6 * 4.1098537"
5,35935.9,"(x6 * 6.195291) + -306.34695"
6,31899.588,"(x8 + 0.0066313846) * square(x6)"
7,20694.6,"((x6 * x8) + 2.0962331) * x6"
8,19712.158,"((x8 + 0.0038847562) * square(x6)) + x6"
9,15749.879,"((x7 * 0.004422583) + (x6 * x8)) * x6"
10,15515.056,"x6 + ((x8 + (x1 * 0.0041656317)) * square(x6))"
11,12481.923,"(x6 - x2) * ((x7 * 0.0053005624) + (x8 * x6))"
13,10746.838,"(((x8 * (x7 * 0.002048973)) * x6) + 2.872118) * (x6 - 26.100632)"
15,9308.633,"(x6 - x2) * (((x6 * 0.0019101257) * (x1 + (x7 * x8))) + 2.1567655)"
17,8994.048,"(x6 - ((x2 + 22.222042) / x1)) * (((x6 * (x7 * 0.0022271837)) * x8) + 2.8182013)"
19,8470.944,"((x6 - (x2 / x1)) - 19.338255) * (((((x8 * x6) * 0.0018785369) + 0.0018965121) * x7) + 2.3489428)"
